Modelo,RMSE,MAE,R²,MAPE (%),Tipo
Random Forest (Base),2397.790393738978,999.9180549949815,0.9887846504664202,6.903472090495727,Base
XGBoost (Base),2974.3010519889353,1660.388953974122,0.9827432013948375,12.755791872271402,Base
CatBoost (Base),3812.2872662478485,2249.6688726296575,0.9716494415379942,17.151758746283534,Base
Random Forest (Optimizado),2381.6889577238653,986.9731582959588,0.9889347694383435,6.804750538791421,Optimizado
XGBoost (Optimizado),2489.429304972975,1327.995444155814,0.9879110111616285,10.475325574565742,Optimizado
CatBoost (Optimizado),3005.2695860390886,1710.2285889960726,0.9823819737082913,13.464180034429285,Optimizado
